year,pci,location_code,export_value,hs_product_code
1995,0.036665,DEU,33128216,0101
1996,-0.047203,DEU,33200904,0101
1997,0.034398,DEU,46708656,0101
1998,0.078009,DEU,51799672,0101
1999,-0.048809,DEU,55715988,0101
2000,0.128394,DEU,59816340,0101
2001,0.032948,DEU,70364720,0101
2002,0.117083,DEU,60622292,0101
2003,0.253595,DEU,81726288,0101
2004,0.243948,DEU,97390704,0101
2005,-0.272315,DEU,124499080,0101
2006,-0.028143,DEU,130997480,0101
2007,-0.108578,DEU,178330640,0101
2008,-0.088556,DEU,167821744,0101
2009,-0.345538,DEU,133908256,0101
2010,0.094998,DEU,139416544,0101
2011,0.273453,DEU,212194544,0101
2012,-0.466128,DEU,171825264,0101
2013,0.117665,DEU,226477152,0101
2014,-0.315449,DEU,172340336,0101
2015,-0.274673,DEU,160805888,0101
2016,-0.173691,DEU,142370272,0101
2017,0.329815,DEU,202613952,0101
2018,-0.143387,DEU,211555360,0101
2019,0.235904,DEU,234054160,0101
2020,0.133626,DEU,195371776,0101
1995,0.036665,GRC,296860,0101
1996,-0.047203,GRC,72685,0101
1997,0.034398,GRC,237547,0101
1998,0.078009,GRC,32350,0101
1999,-0.048809,GRC,50871,0101
2000,0.128394,GRC,228337,0101
2001,0.032948,GRC,88899,0101
2002,0.117083,GRC,36089,0101
2003,0.253595,GRC,50144,0101
2004,0.243948,GRC,38940,0101
2005,-0.272315,GRC,32123,0101
2006,-0.028143,GRC,199702,0101
2007,-0.108578,GRC,995415,0101
2008,-0.088556,GRC,53050,0101
2009,-0.345538,GRC,344483,0101
2010,0.094998,GRC,68758,0101
2011,0.273453,GRC,97788,0101
2012,-0.466128,GRC,115291,0101
2013,0.117665,GRC,180836,0101
2014,-0.315449,GRC,436585,0101
2015,-0.274673,GRC,146231,0101
2016,-0.173691,GRC,231181,0101
2017,0.329815,GRC,537933,0101
2018,-0.143387,GRC,226923,0101
2019,0.235904,GRC,437103,0101
2020,0.133626,GRC,98022,0101
1995,-0.448527,DEU,531344704,0102
1996,-0.88965,DEU,397606720,0102
1997,-0.642463,DEU,364197376,0102
1998,-0.473192,DEU,452650272,0102
1999,-0.630894,DEU,365030976,0102
2000,-0.65022,DEU,244950592,0102
2001,-1.296314,DEU,148552992,0102
2002,-1.178524,DEU,236505568,0102
2003,-0.951981,DEU,286933152,0102
2004,-0.904805,DEU,393673472,0102
2005,-0.82788,DEU,363562976,0102
2006,-0.686231,DEU,400642720,0102
2007,-0.638615,DEU,324449056,0102
2008,-0.654809,DEU,323418464,0102
2009,-0.568237,DEU,354175168,0102
2010,-0.759188,DEU,335708224,0102
2011,-0.879024,DEU,403929536,0102
2012,-0.861256,DEU,303892544,0102
2013,-0.838,DEU,324444384,0102
2014,-0.909146,DEU,378737472,0102
2015,-0.847933,DEU,378835456,0102
2016,-0.77469,DEU,354020416,0102
2017,-0.740786,DEU,443235616,0102
2018,-0.409361,DEU,392655296,0102
2019,-0.46397,DEU,340953056,0102
2020,-0.570452,DEU,279450208,0102
1995,-0.448527,GRC,1308391,0102
1996,-0.88965,GRC,218564,0102
1997,-0.642463,GRC,735423,0102
1998,-0.473192,GRC,147197,0102
1999,-0.630894,GRC,390254,0102
2000,-0.65022,GRC,210577,0102
2001,-1.296314,GRC,299806,0102
2002,-1.178524,GRC,64867,0102
2003,-0.951981,GRC,372460,0102
2004,-0.904805,GRC,1124363,0102
2005,-0.82788,GRC,32587,0102
2006,-0.686231,GRC,1063250,0102
2007,-0.638615,GRC,121325,0102
2008,-0.654809,GRC,435135,0102
2009,-0.568237,GRC,547789,0102
2010,-0.759188,GRC,1008301,0102
2011,-0.879024,GRC,11315008,0102
2012,-0.861256,GRC,5475206,0102
2013,-0.838,GRC,1238756,0102
2014,-0.909146,GRC,299172,0102
2015,-0.847933,GRC,507573,0102
2016,-0.77469,GRC,143552,0102
2017,-0.740786,GRC,72407,0102
2018,-0.409361,GRC,193633,0102
2019,-0.46397,GRC,865568,0102
2020,-0.570452,GRC,182574,0102
1995,0.219125,DEU,62421688,0103
1996,0.579654,DEU,80578184,0103
1997,0.112705,DEU,79822488,0103
1998,0.163287,DEU,96787544,0103
1999,0.117843,DEU,90721240,0103
2000,0.077313,DEU,77375392,0103
2001,0.231017,DEU,99394464,0103
2002,0.347373,DEU,132645168,0103
2003,0.192202,DEU,82660544,0103
2004,0.495413,DEU,100407280,0103
2005,0.444684,DEU,192218544,0103
2006,0.883246,DEU,157739856,0103
2007,0.908526,DEU,136788752,0103
2008,1.101366,DEU,277432864,0103
2009,0.960146,DEU,345729984,0103
2010,0.56385,DEU,289439040,0103
2011,0.776719,DEU,331935296,0103
2012,0.754223,DEU,487848832,0103
2013,0.755593,DEU,472525440,0103
2014,0.778346,DEU,471680640,0103
2015,0.698413,DEU,266024176,0103
2016,0.516743,DEU,197028944,0103
2017,0.682393,DEU,226920432,0103
2018,0.641642,DEU,191977344,0103
2019,0.658006,DEU,200898912,0103
2020,0.655697,DEU,190701712,0103
1995,0.219125,GRC,428083,0103
1996,0.579654,GRC,400176,0103
1997,0.112705,GRC,121483,0103
1998,0.163287,GRC,157503,0103
1999,0.117843,GRC,181759,0103
2000,0.077313,GRC,7055,0103
2001,0.231017,GRC,0,0103
2002,0.347373,GRC,127838,0103
2003,0.192202,GRC,29208,0103
2004,0.495413,GRC,153419,0103
2005,0.444684,GRC,469375,0103
2006,0.883246,GRC,583155,0103
2007,0.908526,GRC,2209153,0103
2008,1.101366,GRC,3911654,0103
2009,0.960146,GRC,5420132,0103
2010,0.56385,GRC,7474700,0103
2011,0.776719,GRC,7819516,0103
2012,0.754223,GRC,7742495,0103
2013,0.755593,GRC,7321731,0103
2014,0.778346,GRC,9962091,0103
2015,0.698413,GRC,10224751,0103
2016,0.516743,GRC,8604964,0103
2017,0.682393,GRC,10402266,0103
2018,0.641642,GRC,10274844,0103
2019,0.658006,GRC,13452998,0103
2020,0.655697,GRC,10083069,0103
1995,-0.938353,DEU,4943992,0104
1996,-1.604985,DEU,5068066,0104
1997,-0.974279,DEU,8002730,0104
1998,-1.195057,DEU,6341758,0104
1999,-1.193764,DEU,6014978,0104
2000,-1.224539,DEU,5705147,0104
2001,-1.234452,DEU,5894866,0104
2002,-1.608518,DEU,6215107,0104
2003,-1.68725,DEU,6278986,0104
2004,-1.619977,DEU,6298563,0104
2005,-1.694,DEU,13733018,0104
2006,-1.451617,DEU,8342237,0104
2007,-1.480648,DEU,5875692,0104
2008,-1.69079,DEU,6433397,0104
2009,-1.438548,DEU,7134032,0104
2010,-1.490326,DEU,5608614,0104
2011,-1.676496,DEU,7004329,0104
2012,-1.733294,DEU,6893241,0104
2013,-1.775834,DEU,3653510,0104
2014,-1.782429,DEU,3800710,0104
2015,-1.893283,DEU,2163917,0104
2016,-1.596691,DEU,2095605,0104
2017,-1.63252,DEU,2319702,0104
2018,-1.494064,DEU,1267950,0104
2019,-1.46808,DEU,2234612,0104
2020,-1.251764,DEU,2215080,0104
1995,-0.938353,GRC,262288,0104
1996,-1.604985,GRC,372230,0104
1997,-0.974279,GRC,973054,0104
1998,-1.195057,GRC,505388,0104
1999,-1.193764,GRC,255086,0104
2000,-1.224539,GRC,39337,0104
2001,-1.234452,GRC,162789,0104
2002,-1.608518,GRC,58993,0104
2003,-1.68725,GRC,268063,0104
2004,-1.619977,GRC,257780,0104
2005,-1.694,GRC,357183,0104
2006,-1.451617,GRC,798614,0104
2007,-1.480648,GRC,222309,0104
2008,-1.69079,GRC,151178,0104
2009,-1.438548,GRC,281649,0104
2010,-1.490326,GRC,1181559,0104
2011,-1.676496,GRC,15097579,0104
2012,-1.733294,GRC,8470981,0104
2013,-1.775834,GRC,3492580,0104
2014,-1.782429,GRC,1496314,0104
2015,-1.893283,GRC,834682,0104
2016,-1.596691,GRC,604965,0104
2017,-1.63252,GRC,1397837,0104
2018,-1.494064,GRC,907829,0104
2019,-1.46808,GRC,1453468,0104
2020,-1.251764,GRC,852093,0104
1995,-0.11634,DEU,88499928,0105
1996,-0.006441,DEU,133590272,0105
1997,0.142343,DEU,120024696,0105
1998,0.122444,DEU,130305296,0105
1999,0.069715,DEU,113599520,0105
2000,-0.016596,DEU,116978712,0105
2001,-0.477774,DEU,176580368,0105
2002,-0.325181,DEU,176042432,0105
2003,-0.468877,DEU,150432464,0105
2004,-0.593943,DEU,209057264,0105
2005,-0.30212,DEU,272010080,0105
2006,0.120782,DEU,249783072,0105
2007,-0.039384,DEU,311610048,0105
2008,0.189684,DEU,431950112,0105
2009,0.169288,DEU,485669984,0105
2010,0.014812,DEU,556691904,0105
2011,-0.127434,DEU,688777216,0105
2012,0.139744,DEU,717821376,0105
2013,0.051864,DEU,747375552,0105
2014,-0.070117,DEU,703864960,0105
2015,-0.078676,DEU,627195392,0105
2016,0.087114,DEU,654105024,0105
2017,-0.118788,DEU,687786112,0105
2018,0.009422,DEU,721559616,0105
2019,-0.040472,DEU,649560768,0105
2020,-0.190031,DEU,537650688,0105
1995,-0.11634,GRC,220886,0105
1996,-0.006441,GRC,271848,0105
1997,0.142343,GRC,825590,0105
1998,0.122444,GRC,701044,0105
1999,0.069715,GRC,696696,0105
2000,-0.016596,GRC,631351,0105
2001,-0.477774,GRC,710424,0105
2002,-0.325181,GRC,3963730,0105
2003,-0.468877,GRC,2183998,0105
2004,-0.593943,GRC,2880275,0105
2005,-0.30212,GRC,3000723,0105
2006,0.120782,GRC,1950668,0105
2007,-0.039384,GRC,3391866,0105
2008,0.189684,GRC,3566198,0105
2009,0.169288,GRC,4364450,0105
2010,0.014812,GRC,5326123,0105
2011,-0.127434,GRC,3711072,0105
2012,0.139744,GRC,3924740,0105
2013,0.051864,GRC,4702354,0105
2014,-0.070117,GRC,5876840,0105
2015,-0.078676,GRC,4339128,0105
2016,0.087114,GRC,3992385,0105
2017,-0.118788,GRC,2695740,0105
2018,0.009422,GRC,3950647,0105
2019,-0.040472,GRC,5433618,0105
2020,-0.190031,GRC,4619396,0105
1995,-1.818142,DEU,9763206,0106
1996,-1.909213,DEU,10118519,0106
1997,-1.630136,DEU,9015238,0106
1998,-1.758324,DEU,10831354,0106
1999,-1.783343,DEU,14005913,0106
2000,-1.622593,DEU,11473258,0106
2001,-1.955036,DEU,12128382,0106
2002,-1.774931,DEU,14977986,0106
2003,-1.638867,DEU,17538254,0106
2004,-1.73793,DEU,17581198,0106
2005,-1.710365,DEU,22139112,0106
2006,-1.712814,DEU,20012662,0106
2007,-1.621118,DEU,23381954,0106
2008,-1.521432,DEU,25782080,0106
2009,-1.530647,DEU,26891158,0106
2010,-1.560205,DEU,28977022,0106
2011,-1.753161,DEU,34500236,0106
2012,-1.728775,DEU,32245464,0106
2013,-1.399663,DEU,31167448,0106
2014,-1.441648,DEU,32514104,0106
2015,-1.653021,DEU,32567120,0106
2016,-1.365873,DEU,36304328,0106
2017,-1.257644,DEU,35474448,0106
2018,-1.502952,DEU,38049028,0106
2019,-1.224944,DEU,37949100,0106
2020,-1.089957,DEU,41778700,0106
1995,-1.818142,GRC,169713,0106
1996,-1.909213,GRC,123427,0106
1997,-1.630136,GRC,79337,0106
1998,-1.758324,GRC,150465,0106
1999,-1.783343,GRC,249955,0106
2000,-1.622593,GRC,450160,0106
2001,-1.955036,GRC,289536,0106
2002,-1.774931,GRC,85808,0106
2003,-1.638867,GRC,38401,0106
2004,-1.73793,GRC,26721,0106
2005,-1.710365,GRC,73599,0106
2006,-1.712814,GRC,333145,0106
2007,-1.621118,GRC,197113,0106
2008,-1.521432,GRC,1010983,0106
2009,-1.530647,GRC,988718,0106
2010,-1.560205,GRC,449045,0106
2011,-1.753161,GRC,452587,0106
2012,-1.728775,GRC,521163,0106
2013,-1.399663,GRC,1161245,0106
2014,-1.441648,GRC,1379725,0106
2015,-1.653021,GRC,1743457,0106
2016,-1.365873,GRC,1187448,0106
2017,-1.257644,GRC,500282,0106
2018,-1.502952,GRC,766148,0106
2019,-1.224944,GRC,681675,0106
2020,-1.089957,GRC,722720,0106
1995,-0.298014,DEU,880110656,0201
1996,-0.312055,DEU,742140608,0201
1997,-0.258623,DEU,746083520,0201
1998,-0.300267,DEU,814216128,0201
1999,-0.043176,DEU,808017280,0201
2000,-0.394155,DEU,668411648,0201
2001,-0.154861,DEU,694605056,0201
2002,0.021098,DEU,921286656,0201
2003,-0.189992,DEU,951042240,0201
2004,-0.017598,DEU,1216887808,0201
2005,-0.304556,DEU,1262646016,0201
2006,-0.268562,DEU,1549714688,0201
2007,-0.438036,DEU,1473347328,0201
2008,-0.147026,DEU,2016032256,0201
2009,-0.122377,DEU,1731435392,0201
2010,-0.084848,DEU,1655084160,0201
2011,-0.239857,DEU,1960279680,0201
2012,-0.175654,DEU,1685851008,0201
2013,-0.271722,DEU,1630834176,0201
2014,-0.383477,DEU,1544680704,0201
2015,-0.180861,DEU,1267843328,0201
2016,-0.498154,DEU,1197969152,0201
2017,-0.554613,DEU,1210745344,0201
2018,-0.634448,DEU,1205282304,0201
2019,-0.522595,DEU,1119421440,0201
2020,-0.479126,DEU,928230400,0201
1995,-0.298014,GRC,1328480,0201
1996,-0.312055,GRC,2118707,0201
1997,-0.258623,GRC,1502855,0201
1998,-0.300267,GRC,891436,0201
1999,-0.043176,GRC,1325887,0201
2000,-0.394155,GRC,778066,0201
2001,-0.154861,GRC,435570,0201
2002,0.021098,GRC,955411,0201
2003,-0.189992,GRC,1539992,0201
2004,-0.017598,GRC,1350280,0201
2005,-0.304556,GRC,1987086,0201
2006,-0.268562,GRC,4336493,0201
2007,-0.438036,GRC,4506062,0201
2008,-0.147026,GRC,7240438,0201
2009,-0.122377,GRC,6232245,0201
2010,-0.084848,GRC,7231074,0201
2011,-0.239857,GRC,5619950,0201
2012,-0.175654,GRC,2163984,0201
2013,-0.271722,GRC,2515393,0201
2014,-0.383477,GRC,1522815,0201
2015,-0.180861,GRC,2686007,0201
2016,-0.498154,GRC,2099493,0201
2017,-0.554613,GRC,2082607,0201
2018,-0.634448,GRC,2063469,0201
2019,-0.522595,GRC,5374846,0201
2020,-0.479126,GRC,2421787,0201
1995,-0.899869,DEU,303108544,0202
1996,-1.251878,DEU,309184928,0202
1997,-1.018902,DEU,289961344,0202
1998,-0.84536,DEU,238672592,0202
1999,-0.900785,DEU,316483680,0202
2000,-0.70806,DEU,165209312,0202
2001,-1.00719,DEU,271044320,0202
2002,-1.100089,DEU,207342464,0202
2003,-0.698119,DEU,167162800,0202
2004,-1.071291,DEU,140463072,0202
2005,-1.286235,DEU,192842256,0202
2006,-1.328027,DEU,184205984,0202
2007,-0.890087,DEU,168339472,0202
2008,-1.166836,DEU,266928560,0202
2009,-0.830963,DEU,240404128,0202
2010,-0.789783,DEU,300056480,0202
2011,-1.543998,DEU,278415296,0202
2012,-0.984718,DEU,265292752,0202
2013,-1.023646,DEU,242104544,0202
2014,-1.097614,DEU,246565408,0202
2015,-0.967814,DEU,186589664,0202
2016,-1.037659,DEU,193548544,0202
2017,-1.226866,DEU,224764400,0202
2018,-1.163449,DEU,268168560,0202
2019,-0.856072,DEU,251973488,0202
2020,-1.432244,DEU,172071536,0202
1995,-0.899869,GRC,6399976,0202
1996,-1.251878,GRC,5365854,0202
1997,-1.018902,GRC,5123926,0202
1998,-0.84536,GRC,4871529,0202
1999,-0.900785,GRC,6216500,0202
2000,-0.70806,GRC,5122301,0202
2001,-1.00719,GRC,1096413,0202
2002,-1.100089,GRC,618496,0202
2003,-0.698119,GRC,1842559,0202
2004,-1.071291,GRC,1831493,0202
2005,-1.286235,GRC,991713,0202
2006,-1.328027,GRC,1025611,0202
2007,-0.890087,GRC,1861473,0202
2008,-1.166836,GRC,6551172,0202
2009,-0.830963,GRC,7345588,0202
2010,-0.789783,GRC,3363310,0202
2011,-1.543998,GRC,2059112,0202
2012,-0.984718,GRC,459917,0202
2013,-1.023646,GRC,598583,0202
2014,-1.097614,GRC,778481,0202
2015,-0.967814,GRC,789857,0202
2016,-1.037659,GRC,1359085,0202
2017,-1.226866,GRC,1651022,0202
2018,-1.163449,GRC,1471810,0202
2019,-0.856072,GRC,1773264,0202
2020,-1.432244,GRC,1412218,0202
1995,0.923737,DEU,313072896,0203
1996,0.752353,DEU,407720736,0203
1997,0.480007,DEU,348308032,0203
1998,0.382905,DEU,457687392,0203
1999,0.714578,DEU,630626432,0203
2000,0.739922,DEU,501855616,0203
2001,0.617888,DEU,764078400,0203
2002,0.788788,DEU,901758208,0203
2003,0.86554,DEU,1056908864,0203
2004,0.723007,DEU,1409326976,0203
2005,1.04264,DEU,1972484480,0203
2006,0.793318,DEU,2323392000,0203
2007,1.146306,DEU,2818236416,0203
2008,1.173984,DEU,4022876416,0203
2009,1.081593,DEU,3953315584,0203
2010,1.016499,DEU,4041670656,0203
2011,1.036272,DEU,4801923584,0203
2012,1.004563,DEU,4869016576,0203
2013,0.976466,DEU,5148798976,0203
2014,0.583887,DEU,4927680000,0203
2015,0.836361,DEU,3895913472,0203
2016,0.907502,DEU,4291753472,0203
2017,0.970528,DEU,4700358144,0203
2018,0.973224,DEU,4330335744,0203
2019,0.858354,DEU,4961326592,0203
2020,0.657917,DEU,4698895872,0203
1995,0.923737,GRC,2690118,0203
1996,0.752353,GRC,2665325,0203
1997,0.480007,GRC,2565917,0203
1998,0.382905,GRC,4235250,0203
1999,0.714578,GRC,2451693,0203
2000,0.739922,GRC,2395320,0203
2001,0.617888,GRC,1655766,0203
2002,0.788788,GRC,1785404,0203
2003,0.86554,GRC,2317587,0203
2004,0.723007,GRC,2453282,0203
2005,1.04264,GRC,1646594,0203
2006,0.793318,GRC,4776563,0203
2007,1.146306,GRC,5346290,0203
2008,1.173984,GRC,14160497,0203
2009,1.081593,GRC,8995463,0203
2010,1.016499,GRC,11741498,0203
2011,1.036272,GRC,12356712,0203
2012,1.004563,GRC,13735303,0203
2013,0.976466,GRC,8905105,0203
2014,0.583887,GRC,9297765,0203
2015,0.836361,GRC,7123212,0203
2016,0.907502,GRC,8966287,0203
2017,0.970528,GRC,8972704,0203
2018,0.973224,GRC,11125847,0203
2019,0.858354,GRC,14289378,0203
2020,0.657917,GRC,10962061,0203
1995,-0.729138,DEU,5639701,0204
1996,-1.200565,DEU,10695353,0204
1997,-0.722822,DEU,16214427,0204
1998,-1.212396,DEU,10618082,0204
1999,-0.931375,DEU,21409762,0204
2000,-1.155745,DEU,20605212,0204
2001,-0.989464,DEU,39667996,0204
2002,-0.992455,DEU,41264416,0204
2003,-0.750509,DEU,40755400,0204
2004,-0.797706,DEU,32555870,0204
2005,-1.039999,DEU,51490008,0204
2006,-1.29211,DEU,58211144,0204
2007,-1.206153,DEU,57923324,0204
2008,-0.994181,DEU,86250432,0204
2009,-1.308058,DEU,74441288,0204
2010,-1.673493,DEU,75112768,0204
2011,-1.647218,DEU,83837672,0204
2012,-1.649249,DEU,63577092,0204
2013,-1.47665,DEU,64538248,0204
2014,-1.655743,DEU,63861836,0204
2015,-1.219351,DEU,59618548,0204
2016,-1.374756,DEU,59507620,0204
2017,-1.712649,DEU,72126536,0204
2018,-1.705377,DEU,76388744,0204
2019,-1.575618,DEU,65675168,0204
2020,-1.265644,DEU,45703832,0204
1995,-0.729138,GRC,1081862,0204
1996,-1.200565,GRC,1658919,0204
1997,-0.722822,GRC,1881944,0204
1998,-1.212396,GRC,2132234,0204
1999,-0.931375,GRC,1940762,0204
2000,-1.155745,GRC,1355431,0204
2001,-0.989464,GRC,4772148,0204
2002,-0.992455,GRC,3874171,0204
2003,-0.750509,GRC,4488429,0204
2004,-0.797706,GRC,6502407,0204
2005,-1.039999,GRC,7809300,0204
2006,-1.29211,GRC,6267908,0204
2007,-1.206153,GRC,9150890,0204
2008,-0.994181,GRC,11284427,0204
2009,-1.308058,GRC,11724363,0204
2010,-1.673493,GRC,12672580,0204
2011,-1.647218,GRC,15651405,0204
2012,-1.649249,GRC,14154669,0204
2013,-1.47665,GRC,21499656,0204
2014,-1.655743,GRC,25120558,0204
2015,-1.219351,GRC,24825826,0204
2016,-1.374756,GRC,29719736,0204
2017,-1.712649,GRC,31545134,0204
2018,-1.705377,GRC,36248084,0204
2019,-1.575618,GRC,39101056,0204
2020,-1.265644,GRC,35236384,0204
1995,0.009985,DEU,726090,0205
1996,-0.304441,DEU,318858,0205
1997,-0.323829,DEU,2277226,0205
1998,-0.604447,DEU,576801,0205
1999,-0.534672,DEU,509660,0205
2000,0.355834,DEU,638250,0205
2001,0.104597,DEU,2158674,0205
2002,0.036273,DEU,4093187,0205
2003,-0.218467,DEU,3996077,0205
2004,-0.070141,DEU,5835108,0205
2005,-0.084967,DEU,5679239,0205
2006,-0.322497,DEU,5386024,0205
2007,-0.411548,DEU,7530092,0205
2008,-0.331033,DEU,14175762,0205
2009,-0.167436,DEU,12378926,0205
2010,0.043184,DEU,6891228,0205
2011,-0.073454,DEU,2992727,0205
2012,0.100744,DEU,1695722,0205
2013,-0.208523,DEU,1009646,0205
2014,-0.233895,DEU,997977,0205
2015,-0.229507,DEU,1220912,0205
2016,-0.719258,DEU,1143584,0205
2017,-0.70657,DEU,866849,0205
2018,-0.450638,DEU,1339039,0205
2019,-0.785683,DEU,1089200,0205
2020,-0.204733,DEU,1260824,0205
1995,0.009985,GRC,0,0205
1996,-0.304441,GRC,0,0205
1997,-0.323829,GRC,0,0205
1998,-0.604447,GRC,0,0205
1999,-0.534672,GRC,0,0205
2000,0.355834,GRC,0,0205
2001,0.104597,GRC,0,0205
2002,0.036273,GRC,3238,0205
2003,-0.218467,GRC,2066,0205
2004,-0.070141,GRC,0,0205
2005,-0.084967,GRC,0,0205
2006,-0.322497,GRC,0,0205
2007,-0.411548,GRC,135950,0205
2008,-0.331033,GRC,7028,0205
2009,-0.167436,GRC,8346,0205
2010,0.043184,GRC,0,0205
2011,-0.073454,GRC,0,0205
2012,0.100744,GRC,2463,0205
2013,-0.208523,GRC,0,0205
2014,-0.233895,GRC,0,0205
2015,-0.229507,GRC,5158,0205
2016,-0.719258,GRC,2279,0205
2017,-0.70657,GRC,3214,0205
2018,-0.450638,GRC,10044,0205
2019,-0.785683,GRC,17033,0205
2020,-0.204733,GRC,23651,0205
1995,-0.145149,DEU,58588236,0206
1996,-0.294067,DEU,51974092,0206
1997,-0.397853,DEU,56481444,0206
1998,-0.347555,DEU,67804528,0206
1999,-0.56542,DEU,59554600,0206
2000,-0.314456,DEU,57356984,0206
2001,-0.277578,DEU,94155224,0206
2002,-0.369633,DEU,122914416,0206
2003,-0.181837,DEU,125555120,0206
2004,-0.500113,DEU,212849104,0206
2005,-0.576459,DEU,307309248,0206
2006,-0.567237,DEU,306920352,0206
2007,-0.383017,DEU,313165952,0206
2008,-0.04129,DEU,619037888,0206
2009,-0.155829,DEU,589495616,0206
2010,-0.447547,DEU,538090176,0206
2011,-0.334242,DEU,756934336,0206
2012,-0.501546,DEU,856708416,0206
2013,-0.532345,DEU,837368896,0206
2014,-0.41841,DEU,834138816,0206
2015,-0.330472,DEU,686550592,0206
2016,-0.610966,DEU,828761152,0206
2017,-0.483389,DEU,824796096,0206
2018,-0.552844,DEU,747656896,0206
2019,-0.229003,DEU,840041472,0206
2020,-0.250377,DEU,749568384,0206
1995,-0.145149,GRC,355425,0206
1996,-0.294067,GRC,513192,0206
1997,-0.397853,GRC,219101,0206
1998,-0.347555,GRC,893848,0206
1999,-0.56542,GRC,417054,0206
2000,-0.314456,GRC,239024,0206
2001,-0.277578,GRC,467167,0206
2002,-0.369633,GRC,964897,0206
2003,-0.181837,GRC,1274639,0206
2004,-0.500113,GRC,1259264,0206
2005,-0.576459,GRC,2400764,0206
2006,-0.567237,GRC,2598473,0206
2007,-0.383017,GRC,1967925,0206
2008,-0.04129,GRC,5832523,0206
2009,-0.155829,GRC,6836854,0206
2010,-0.447547,GRC,4603127,0206
2011,-0.334242,GRC,6038890,0206
2012,-0.501546,GRC,3696874,0206
2013,-0.532345,GRC,2003182,0206
2014,-0.41841,GRC,2574899,0206
2015,-0.330472,GRC,2705804,0206
2016,-0.610966,GRC,2798392,0206
2017,-0.483389,GRC,3062032,0206
2018,-0.552844,GRC,2917850,0206
2019,-0.229003,GRC,2893215,0206
2020,-0.250377,GRC,3862593,0206
1995,0.052322,DEU,208427872,0207
1996,0.137643,DEU,224829552,0207
1997,0.036976,DEU,197171984,0207
1998,-0.038836,DEU,240842368,0207
1999,0.116174,DEU,249656864,0207
2000,0.162239,DEU,223275392,0207
2001,0.524523,DEU,253880128,0207
2002,-0.075041,DEU,335897568,0207
2003,0.324316,DEU,464161984,0207
2004,0.334289,DEU,490747840,0207
2005,0.368982,DEU,602173248,0207
2006,0.410225,DEU,630019392,0207
2007,0.372612,DEU,749263552,0207
2008,0.288297,DEU,1042945088,0207
2009,0.254312,DEU,905270464,0207
2010,0.274728,DEU,964011072,0207
2011,0.445404,DEU,1109933312,0207
2012,0.310034,DEU,1149901696,0207
2013,0.319149,DEU,1230390144,0207
2014,0.122095,DEU,1284466304,0207
2015,0.221483,DEU,1047910720,0207
2016,0.197351,DEU,1001704192,0207
2017,-0.033343,DEU,1010261312,0207
2018,0.023922,DEU,1032162880,0207
2019,0.030274,DEU,1006651008,0207
2020,-0.017685,DEU,852221248,0207
1995,0.052322,GRC,9027649,0207
1996,0.137643,GRC,7008128,0207
1997,0.036976,GRC,8015320,0207
1998,-0.038836,GRC,6435515,0207
1999,0.116174,GRC,7786099,0207
2000,0.162239,GRC,6154486,0207
2001,0.524523,GRC,4051905,0207
2002,-0.075041,GRC,2952263,0207
2003,0.324316,GRC,7062097,0207
2004,0.334289,GRC,7022694,0207
2005,0.368982,GRC,7702342,0207
2006,0.410225,GRC,7190867,0207
2007,0.372612,GRC,15225122,0207
2008,0.288297,GRC,20852004,0207
2009,0.254312,GRC,14887301,0207
2010,0.274728,GRC,13205939,0207
2011,0.445404,GRC,24192722,0207
2012,0.310034,GRC,19543334,0207
2013,0.319149,GRC,23281424,0207
2014,0.122095,GRC,28475144,0207
2015,0.221483,GRC,19681206,0207
2016,0.197351,GRC,19024774,0207
2017,-0.033343,GRC,27296970,0207
2018,0.023922,GRC,32806794,0207
2019,0.030274,GRC,34012268,0207
2020,-0.017685,GRC,30413366,0207
1995,-0.198045,DEU,25366432,0208
1996,-0.124936,DEU,24829742,0208
1997,-0.39902,DEU,23697026,0208
1998,-0.222242,DEU,23185100,0208
1999,-0.108817,DEU,26393258,0208
2000,-0.248154,DEU,23430740,0208
2001,-0.265557,DEU,36635780,0208
2002,-0.288911,DEU,31601446,0208
2003,-0.242686,DEU,32251248,0208
2004,-0.30503,DEU,42986916,0208
2005,-0.402658,DEU,43359584,0208
2006,-0.281966,DEU,45103804,0208
2007,-0.230814,DEU,59549052,0208
2008,-0.211937,DEU,73100512,0208
2009,-0.55062,DEU,52821932,0208
2010,-0.81285,DEU,63836960,0208
2011,-0.267629,DEU,63834116,0208
2012,-0.235662,DEU,57006820,0208
2013,-0.115905,DEU,58559620,0208
2014,-0.032669,DEU,59831312,0208
2015,-0.243419,DEU,56056768,0208
2016,-0.098343,DEU,55259156,0208
2017,-0.164437,DEU,56239520,0208
2018,-0.272822,DEU,59436364,0208
2019,-0.365659,DEU,52231688,0208
2020,-0.054662,DEU,33425226,0208
1995,-0.198045,GRC,23518,0208
1996,-0.124936,GRC,55268,0208
1997,-0.39902,GRC,60302,0208
1998,-0.222242,GRC,96282,0208
1999,-0.108817,GRC,34741,0208
2000,-0.248154,GRC,52752,0208
2001,-0.265557,GRC,33659,0208
2002,-0.288911,GRC,23776,0208
2003,-0.242686,GRC,79936,0208
2004,-0.30503,GRC,243445,0208
2005,-0.402658,GRC,151641,0208
2006,-0.281966,GRC,250344,0208
2007,-0.230814,GRC,1234326,0208
2008,-0.211937,GRC,242503,0208
